mukey,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r
422917,114.0,152.0,92.1,1.9,6.0,0.25
422920,30.333333333333332,81.0,89.33333333333333,2.5,8.166666666666666,1.5999999999999999
422921,42.5,80.5,77.225,13.275,9.5,0.575
422922,5.0,53.5,96.95,1.05,2.0,0.5
422923,5.0,53.5,96.95,1.05,2.0,0.5
422924,5.0,53.5,96.95,1.05,2.0,0.5
422925,5.0,53.5,96.95,1.05,2.0,0.5
422926,45.0,95.66666666666667,89.56666666666666,6.433333333333333,4.0,0.6
422927,37.666666666666664,88.33333333333333,88.03333333333335,7.8,4.166666666666667,1.9666666666666668
422929,39.666666666666664,90.33333333333333,90.73333333333333,4.266666666666667,5.0,0.4166666666666667
422930,39.666666666666664,90.33333333333333,90.73333333333333,4.266666666666667,5.0,0.4166666666666667
422931,39.666666666666664,90.33333333333333,90.73333333333333,4.266666666666667,5.0,0.4166666666666667
422936,11.5,35.5,72.2,17.8,10.0,0.5
422938,79.0,97.0,90.7,1.8,7.5,0.05
422939,79.0,97.0,90.7,1.8,7.5,0.05
422940,48.333333333333336,99.0,17.333333333333332,61.833333333333336,20.833333333333332,1.1666666666666667
422941,48.333333333333336,99.0,17.333333333333332,61.833333333333336,20.833333333333332,1.1666666666666667
422943,33.333333333333336,97.22222222222223,16.711111111111112,44.62222222222222,38.666666666666664,0.9166666666666666
422944,39.666666666666664,90.33333333333333,19.5,43.5,37.0,0.9166666666666666
422945,39.666666666666664,90.33333333333333,19.5,43.5,37.0,0.9166666666666666
422946,59.5,120.5,33.1,50.65,16.25,0.375
422947,47.2,77.6,85.54,7.56,6.9,0.5
422948,29.428571428571427,86.57142857142857,17.37142857142857,46.48571428571428,36.142857142857146,1.0357142857142858
422949,37.0,87.66666666666667,90.46666666666665,4.2,5.333333333333333,0.8333333333333334
422950,30.333333333333332,81.0,86.5,9.166666666666666,4.333333333333333,3.4166666666666665
422951,63.4,93.8,71.53999999999999,18.060000000000002,10.4,0.5
422952,63.4,93.8,71.53999999999999,18.060000000000002,10.4,0.5
422953,63.4,93.8,71.53999999999999,18.060000000000002,10.4,0.5
422954,76.0,200.0,18.0,52.0,30.0,2.0
422956,41.333333333333336,85.06666666666666,91.50666666666666,4.093333333333333,4.4,0.5066666666666667
422957,41.333333333333336,85.06666666666666,91.50666666666667,4.093333333333333,4.4,0.5066666666666666
422958,38.5,78.85714285714286,90.96428571428571,4.285714285714286,4.75,0.45357142857142857
422959,35.45454545454545,72.27272727272727,89.85454545454546,5.054545454545454,5.090909090909091,0.4181818181818182
422960,34.333333333333336,101.0,12.566666666666668,44.51666666666667,42.916666666666664,1.9166666666666667
422961,62.0,92.4,82.92,10.48,6.6,0.31
422962,62.0,92.4,82.92,10.48,6.6,0.31
422963,62.0,92.4,82.92,10.48,6.6,0.31
422964,91.0,152.0,47.0,47.0,6.0,0.25
422965,39.0,89.66666666666667,86.43333333333334,9.066666666666666,4.5,0.6
422966,82.5,120.5,67.3,21.45,11.25,0.15
422968,10.0,36.5,87.94999999999999,5.55,6.5,3.125
422970,38.0,88.66666666666667,79.7,12.466666666666667,7.833333333333333,0.4166666666666667
422971,38.0,88.66666666666667,79.7,12.466666666666667,7.833333333333333,0.4166666666666667
422972,35.333333333333336,86.0,79.7,12.466666666666667,7.833333333333333,0.4166666666666667
426160,28.666666666666668,79.33333333333333,57.966666666666676,20.86666666666667,21.166666666666668,3.0
426161,28.666666666666668,79.33333333333333,57.966666666666676,19.533333333333335,22.5,3.0
426162,0.0,152.0,,,16.0,
426163,0.0,152.0,,,11.5,
426164,30.5,68.5,47.925,31.950000000000003,20.125,1.9375
426165,45.666666666666664,96.33333333333333,36.86666666666667,42.96666666666667,20.166666666666668,3.0
426166,33.0,83.66666666666667,16.666666666666668,53.166666666666664,30.166666666666668,6.0
426167,31.25,50.25,48.05,35.7,16.25,0.8875
426169,38.25,76.25,80.375,11.499999999999998,8.125,1.75
426170,38.25,76.25,80.375,11.499999999999998,8.125,1.75
426171,38.25,76.25,80.375,11.499999999999998,8.125,1.75
426172,38.25,76.25,80.375,11.499999999999998,8.125,1.75
426173,28.0,78.66666666666667,17.53333333333333,48.96666666666666,33.5,0.8333333333333334
426174,40.5,116.5,,,,60.0
426175,21.0,87.66666666666667,57.36666666666667,27.633333333333336,15.0,0.8333333333333334
426176,18.666666666666668,85.33333333333333,57.36666666666667,27.633333333333336,15.0,0.8333333333333334
426177,15.333333333333334,81.66666666666667,66.01666666666667,23.650000000000002,10.333333333333334,1.1666666666666667
426178,34.0,84.66666666666667,42.1,37.9,20.0,48.416666666666664
426179,31.75,69.75,57.75,23.75,18.5,0.7
426180,47.0,85.0,63.35,25.275,11.375,2.0
426181,35.666666666666664,86.33333333333333,39.7,36.55,16.833333333333332,1.0999999999999999
426182,47.0,85.0,52.225,33.275,14.5,3.0
426184,21.333333333333332,72.0,44.150000000000006,36.35,14.666666666666666,3.5
426186,0.0,25.0,94.0,4.0,2.0,0.1
426187,22.0,88.66666666666667,40.666666666666664,37.666666666666664,21.666666666666668,1.3333333333333333
426188,19.666666666666668,86.33333333333333,46.0,34.666666666666664,19.333333333333332,1.3333333333333333
426189,22.666666666666668,73.33333333333333,32.166666666666664,53.5,14.333333333333334,5.0
426190,29.666666666666668,80.33333333333333,39.6,26.23333333333333,34.166666666666664,2.0
426191,29.666666666666668,80.33333333333333,39.6,26.23333333333333,34.166666666666664,2.0
426192,49.0,87.0,43.375,31.625,25.0,2.0
426193,33.333333333333336,97.22222222222223,16.711111111111112,44.62222222222222,38.666666666666664,0.9166666666666666
426194,31.875,103.75,16.7875,44.4,38.8125,0.9375
426195,29.666666666666668,80.33333333333333,27.766666666666666,38.06666666666667,34.166666666666664,2.0
426196,29.666666666666668,80.33333333333333,27.766666666666666,38.06666666666667,34.166666666666664,2.0
426197,29.666666666666668,80.33333333333333,27.766666666666666,38.06666666666667,34.166666666666664,2.0
426198,29.666666666666668,80.33333333333333,20.266666666666666,35.9,43.833333333333336,1.5
426199,29.666666666666668,80.33333333333333,20.033333333333335,35.800000000000004,44.166666666666664,1.5
426200,29.666666666666668,80.33333333333333,20.266666666666666,35.9,43.833333333333336,1.5
426201,37.0,93.8,18.82,41.17999999999999,40.0,2.0
426202,37.0,93.8,18.82,41.17999999999999,40.0,2.0
426203,38.25,98.25,29.175,38.7,32.125,2.0
426204,45.5,109.0,29.6,48.4,22.0,
426205,36.333333333333336,64.33333333333333,29.733333333333334,44.76666666666667,25.5,0.6666666666666666
426206,36.333333333333336,64.33333333333333,29.733333333333334,44.76666666666667,25.5,0.6666666666666666
426207,38.142857142857146,95.28571428571429,24.47142857142857,52.028571428571425,23.5,1.7157142857142857
426209,34.857142857142854,92.0,16.04285714285714,45.81428571428571,38.142857142857146,1.0357142857142858
426210,53.5,91.5,55.2,17.425,27.375,3.0
426211,53.5,91.5,55.2,17.425,27.375,3.0
426212,53.5,91.5,51.75,20.5,27.75,3.0
426213,44.0,120.0,93.6,1.4,5.0,35.125
426215,48.333333333333336,99.0,59.63333333333333,24.366666666666664,16.0,0.4166666666666667
426216,0.0,15.0,29.7,54.3,16.0,3.0
426217,0.0,15.0,29.7,54.3,16.0,3.0
426218,19.22222222222222,35.77777777777778,47.7,36.4875,15.8125,1.8285714285714287
426219,35.5,111.5,5.3,44.7,50.0,79.5
426220,29.25,67.25,49.95,32.175000000000004,17.875,2.0
426223,29.25,67.25,44.425,37.45,18.125,2.0
426226,0.0,18.0,65.9,19.1,15.0,1.25
426227,0.0,18.0,65.9,19.1,15.0,1.25
426228,24.666666666666668,91.33333333333333,12.6,48.23333333333333,39.166666666666664,1.1666666666666667
426229,24.666666666666668,91.33333333333333,12.6,48.23333333333333,39.166666666666664,1.1666666666666667
426230,0.0,18.0,26.3,52.7,21.0,2.0
426231,0.0,18.0,26.3,52.7,21.0,2.0
426232,0.0,18.0,26.3,52.7,21.0,2.0
426233,0.0,18.0,26.3,52.7,21.0,2.0
426234,37.333333333333336,104.0,9.5,46.666666666666664,43.833333333333336,1.1666666666666667
426236,42.875,108.375,23.6625,52.025,24.3125,1.75125
426237,34.333333333333336,101.0,12.566666666666668,44.51666666666667,42.916666666666664,1.9166666666666667
426240,11.333333333333334,62.0,93.6,1.4,5.0,50.0
426241,18.444444444444443,34.77777777777778,49.4375,34.75,15.8125,1.8285714285714287
426242,34.666666666666664,85.33333333333333,59.96666666666667,24.53333333333333,15.5,5.0
426243,24.333333333333332,75.0,96.83333333333333,0.6666666666666666,2.5,0.75
426244,24.333333333333332,75.0,96.83333333333333,0.6666666666666666,2.5,0.75
426245,24.333333333333332,75.0,91.06666666666666,5.933333333333333,3.0,0.75
426246,24.333333333333332,75.0,91.06666666666666,5.933333333333333,3.0,0.75
426247,0.0,20.0,26.3,52.7,21.0,6.0
426248,28.0,78.66666666666667,42.666666666666664,37.666666666666664,19.666666666666668,2.0
426249,28.0,78.66666666666667,42.666666666666664,37.666666666666664,19.666666666666668,2.0
426250,28.0,78.66666666666667,42.666666666666664,37.666666666666664,19.666666666666668,2.0
426251,28.0,78.66666666666667,29.766666666666666,50.56666666666666,19.666666666666668,2.0
426252,28.0,78.66666666666667,29.766666666666666,50.56666666666666,19.666666666666668,2.0
426253,29.666666666666668,80.33333333333333,60.79999999999999,25.866666666666664,13.333333333333334,0.8333333333333334
426254,29.666666666666668,80.33333333333333,52.5,32.5,15.0,0.8333333333333334
426255,0.0,76.0,,,17.0,
426256,0.0,36.0,43.0,38.5,18.5,1.5
426257,0.0,36.0,43.0,38.5,18.5,1.5
426258,17.666666666666668,33.0,34.36666666666667,41.3,24.333333333333332,0.75
426259,24.666666666666668,75.33333333333333,83.53333333333333,11.299999999999999,5.166666666666667,2.0
426261,29.666666666666668,80.33333333333333,54.833333333333336,22.166666666666668,23.0,6.0
426262,41.6,72.0,44.42,38.98,16.6,0.6
426263,52.0,84.25,38.8,42.95,18.25,0.25
426264,52.0,84.25,38.8,42.95,18.25,0.25
426265,52.0,84.25,38.8,42.95,18.25,0.25
426266,52.0,84.25,38.8,42.95,18.25,0.25
426267,42.875,89.0,48.1625,34.9625,16.875,0.5
426268,42.875,89.0,48.1625,34.9625,16.875,0.5
426269,18.666666666666668,69.33333333333333,59.06666666666666,30.433333333333334,10.5,3.0
426270,18.666666666666668,69.33333333333333,46.699999999999996,41.96666666666667,11.333333333333334,3.0
431262,50.0,88.0,46.125,36.99999999999999,16.875,1.9375
431264,37.5,75.5,59.275000000000006,32.1,8.625,0.8125
431265,56.6,87.0,22.0,59.5,18.5,1.16
431267,69.6,110.2,67.22,23.18,9.6,0.6
431268,69.6,110.2,67.22,23.18,9.6,0.6
431269,44.2,74.6,38.58,47.82000000000001,13.6,0.7
431270,44.2,74.6,38.58,47.82000000000001,13.6,0.7
431271,44.2,74.6,38.58,47.82000000000001,13.6,0.7
431272,29.0,51.75,67.575,20.925,11.5,0.7625
431273,29.0,51.75,67.575,20.925,11.5,0.7625
431274,29.0,51.75,67.575,20.925,11.5,0.7625
431275,29.0,51.75,57.974999999999994,29.650000000000002,12.375,0.7625
431276,29.0,51.75,57.974999999999994,29.650000000000002,12.375,0.7625
431277,44.0,82.0,25.575000000000003,59.175000000000004,15.25,2.3875
431278,36.0,74.0,22.4,63.849999999999994,13.75,2.0
431279,79.0,152.0,43.0,38.5,18.5,0.25
431280,46.166666666666664,71.5,31.26666666666667,54.900000000000006,13.833333333333334,0.7916666666666666
431281,38.6,69.0,14.38,66.02000000000001,19.6,0.7
431282,46.5,82.5,50.75,37.75,11.5,1.9375
431284,29.25,67.25,77.775,14.850000000000001,7.375,0.6375
431285,29.25,67.25,77.775,14.850000000000001,7.375,0.6375
431286,29.25,67.25,77.775,14.850000000000001,7.375,0.6375
431287,37.44444444444444,71.22222222222223,74.28888888888889,18.099999999999998,7.611111111111111,0.6222222222222222
431288,44.2,74.6,17.880000000000003,64.42,17.7,0.9
431289,30.428571428571427,73.85714285714286,82.12857142857142,10.8,7.071428571428571,0.47857142857142854
431290,30.428571428571427,73.85714285714286,82.12857142857142,10.8,7.071428571428571,0.47857142857142854
431291,37.4,67.8,17.94,64.66,17.4,0.85
431292,37.4,67.8,17.94,64.66,17.4,0.85
431293,31.75,55.25,19.225,63.9,16.875,0.8875
431294,31.75,55.25,19.225,63.9,16.875,0.8875
431295,31.75,55.25,19.225,63.9,16.875,0.8875
431297,29.666666666666668,80.33333333333333,51.800000000000004,37.36666666666667,10.833333333333334,7.0
431298,76.2,126.4,53.9,35.9,10.2,0.6599999999999999
431299,76.2,126.4,53.9,35.9,10.2,0.6599999999999999
431300,33.25,71.25,91.3,5.199999999999999,3.5,0.5
431302,71.6,116.4,67.26,22.44,10.3,0.7
431303,71.6,116.4,67.26,22.44,10.3,0.7
431304,71.6,116.4,67.26,22.44,10.3,0.7
431305,17.666666666666668,43.0,69.3,19.866666666666667,10.833333333333334,0.8333333333333334
431306,17.666666666666668,43.0,69.3,19.866666666666667,10.833333333333334,0.8333333333333334
431307,17.666666666666668,43.0,61.93333333333334,27.233333333333334,10.833333333333334,0.8333333333333334
431308,12.6,42.0,79.75999999999999,12.34,7.9,0.7
431309,50.8,81.2,46.52,42.17999999999999,11.3,0.6599999999999999
431310,112.0,152.0,93.6,1.4,5.0,0.25
431311,28.0,78.66666666666667,90.46666666666665,4.2,5.333333333333333,0.6833333333333332
431312,32.81818181818182,74.27272727272727,85.09090909090908,10.172727272727274,4.736363636363636,0.6
431313,32.81818181818182,74.27272727272727,85.09090909090908,10.172727272727274,4.736363636363636,0.6
431314,32.57142857142857,76.0,81.54285714285713,13.014285714285716,5.442857142857143,0.6571428571428571
431315,32.57142857142857,76.0,81.54285714285713,13.014285714285716,5.442857142857143,0.6571428571428571
431316,99.0,152.0,92.1,1.9,6.0,0.75
431317,60.2,100.8,66.84,21.759999999999998,11.4,0.85
431318,60.2,100.8,66.84,21.759999999999998,11.4,0.85
431319,64.8,105.4,67.32000000000001,22.48,10.2,0.85
431320,30.333333333333332,81.0,86.5,9.166666666666666,4.333333333333333,2.766666666666667
431321,28.0,66.0,73.675,16.7,9.625,0.9375
431322,61.4,91.8,30.02,54.78000000000001,15.2,0.9
431323,61.4,91.8,30.02,54.78000000000001,15.2,0.9
431324,0.0,25.0,94.0,4.0,2.0,0.1
431325,11.5,56.0,87.0,5.25,7.75,1.25
431326,11.5,56.0,87.0,5.25,7.75,1.25
431327,11.5,56.0,87.0,5.25,7.75,1.25
431328,48.5,73.83333333333333,35.36666666666667,51.550000000000004,13.083333333333334,0.8416666666666667
431329,107.0,161.5,14.15,72.1,13.75,0.5
431330,48.0,86.0,37.05,46.95,16.0,1.9375
431331,17.0,49.333333333333336,32.1,55.9,12.0,3.4333333333333336
431332,17.0,49.333333333333336,32.1,55.9,12.0,3.4333333333333336
431333,44.0,74.4,71.5,20.7,7.8,0.61
431334,44.0,74.4,71.5,20.7,7.8,0.61
431335,44.0,74.4,71.5,20.7,7.8,0.61
431337,68.4,118.6,46.879999999999995,42.72,10.4,0.6599999999999999
431338,68.4,118.6,46.879999999999995,42.72,10.4,0.6599999999999999
431339,68.4,118.6,46.879999999999995,42.72,10.4,0.6599999999999999
431340,41.8,72.2,69.76,20.14,10.1,0.6599999999999999
431341,76.0,152.0,42.1,37.9,20.0,0.25
431342,34.25,58.5,54.4,36.225,9.375,0.7625
431343,59.666666666666664,90.16666666666667,26.51666666666667,56.98333333333334,16.5,0.9249999999999999
431344,59.666666666666664,90.16666666666667,26.51666666666667,56.98333333333334,16.5,0.9249999999999999
433292,53.166666666666664,86.33333333333333,23.8,31.741666666666664,44.458333333333336,0.6875
433296,49.8421052631579,76.52631578947368,84.17894736842106,8.136842105263158,7.684210526315789,0.8315789473684211
433299,49.8421052631579,76.52631578947368,84.17894736842106,8.136842105263158,7.684210526315789,0.8315789473684211
433300,50.31578947368421,79.42105263157895,64.27368421052631,16.09473684210526,19.63157894736842,0.7289473684210526
433301,50.31578947368421,79.42105263157895,64.27368421052631,16.094736842105263,19.63157894736842,0.7289473684210526
433304,39.22222222222222,78.66666666666667,45.511111111111106,25.65555555555555,28.833333333333332,1.0
433305,35.833333333333336,65.41666666666667,45.01666666666667,24.066666666666666,30.916666666666668,0.8541666666666666
433309,35.833333333333336,65.41666666666667,45.01666666666667,24.066666666666666,30.916666666666668,0.8541666666666666
433310,47.0,76.52941176470588,85.04117647058823,7.01764705882353,7.9411764705882355,0.7558823529411766
433314,52.611111111111114,83.33333333333333,63.32777777777778,16.422222222222224,20.25,0.825
433320,48.53846153846154,75.84615384615384,88.97692307692306,6.1,4.923076923076923,0.46153846153846156
433321,48.53846153846154,75.84615384615384,88.97692307692309,6.1,4.923076923076923,0.46153846153846156
